date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:37	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2014%20May%202022%2017:53:37%20GMT	http://localhost/robots.txt		(from )
20:53:39	214889/214889	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20May%202022%2017:53:37%20GMT	http://localhost/wordpress/	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/index.html	(from )
20:53:39	693/693	---M-Z	200	added ('OK')	text/css	etag:%222b5-5dae5ba35b080-gzip%22	http://localhost/wordpress/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=5.9.3	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/plugins/gtranslate/gtranslate-style247404.css	(from http://localhost/wordpress/)
20:53:39	410757/410757	---M-Z	200	added ('OK')	text/css	etag:%2264485-5dae4160e7c40-gzip%22	http://localhost/wordpress/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme.css?ver=1.0.210	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/css/theme1a1f.css	(from http://localhost/wordpress/)
20:53:40	747/747	---M-Z	200	added ('OK')	application/rss+xml	etag:%222775dd3092a4aa04725023498bb610e7-gzip%22	http://localhost/wordpress/comments/feed/	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
20:53:41	21311/21311	---M-Z	200	added ('OK')	application/rss+xml	etag:%22737a50a022423068270cd3510e63eb1f-gzip%22	http://localhost/wordpress/feed/	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
20:53:42	11005/11005	---M--	200	added ('OK')	image/png	etag:%222afd-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/rounded-squares-blue.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/rounded-squares-blue.png	(from http://localhost/wordpress/)
20:53:44	7268/7268	---M--	200	added ('OK')	image/png	etag:%221c64-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/two-circles.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/two-circles.png	(from http://localhost/wordpress/)
20:53:44	28083/28083	---M--	200	added ('OK')	image/png	etag:%226db3-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles.png	(from http://localhost/wordpress/)
20:53:47	42767/42767	---M--	200	added ('OK')	image/png	etag:%22a70f-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/many-rounded-squares-blue.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/many-rounded-squares-blue.png	(from http://localhost/wordpress/)
20:53:48	27792/27792	---M--	200	added ('OK')	image/png	etag:%226c90-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-2.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-2.png	(from http://localhost/wordpress/)
20:53:54	61860/61860	---M--	200	added ('OK')	image/png	etag:%22f1a4-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-3.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-3.png	(from http://localhost/wordpress/)
20:54:01	35762/35762	---M--	200	added ('OK')	image/png	etag:%228bb2-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/waves.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/waves.png	(from http://localhost/wordpress/)
20:54:16	174634/174634	---M--	200	added ('OK')	image/png	etag:%222aa2a-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-gradient.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-gradient.png	(from http://localhost/wordpress/)
20:54:16	91/91	---M--	200	added ('OK')	image/png	etag:%225b-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/dots.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/dots.png	(from http://localhost/wordpress/)
20:54:16	119/119	---M--	200	added ('OK')	image/png	etag:%2277-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/left-tilted-lines.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/left-tilted-lines.png	(from http://localhost/wordpress/)
20:54:17	102/102	---M--	200	added ('OK')	image/png	etag:%2266-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/right-tilted-lines.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/right-tilted-lines.png	(from http://localhost/wordpress/)
20:54:31	263201/263201	---M--	200	added ('OK')	image/png	etag:%2240421-5dae4045aa000%22	http://localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-white-gradient.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/themes/teluro/resources/images/header-shapes/circles-white-gradient.png	(from http://localhost/wordpress/)
20:54:33	14423/14423	---M--	200	added ('OK')	image/png	etag:%223857-5db7039237b40%22	http://localhost/wordpress/wp-content/uploads/2022/03/logoo.png	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/uploads/2022/03/logoo.png	(from http://localhost/wordpress/)
20:54:34	12796/12796	---M-Z	200	added ('OK')	text/css	etag:%2231fc-5dae4160e7c40-gzip%22	http://localhost/wordpress/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/fancybox/jquery.fancybox.min.css?ver=1.0.210	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-content/plugins/colibri-page-builder/extend-builder/assets/static/fancybox/jquery.fancybox.min1a1f.css	(from http://localhost/wordpress/)
20:54:34	83419/83419	---M-Z	200	added ('OK')	text/css	etag:%22145db-5dbfc3de4f071-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/My%20Web%20Sites/tplSuceava/localhost/wordpress/wp-includes/css/dist/block-library/style.min7404.css	(from http://localhost/wordpress/)
20:54:35	53/53	---MCZ	302	error ('Found')	text/plain	date:Sat,%2014%20May%202022%2017:54:34%20GMT	https://unpkg.com/leaflet@1.7.1/dist/leaflet.css?ver=1.7.1	C:/My%20Web%20Sites/tplSuceava/unpkg.com/leaflet@1.7.1/dist/leaflet.144735.delayed	(from http://localhost/wordpress/)
